source_id,opponent,scenario_signature,scenario_seed,distance_speed_package,height_condition,mirror_sign,initial_range_m,own_speed_mps,target_speed_mps,candidate_handoff_reached,candidate_handoff_step,candidate_valid_target_steps,candidate_qualification_reason,candidate_intent_loss_auc20,candidate_range_opening_fraction_auc20,candidate_specific_energy_height_delta_m_at_20,candidate_target_attack_zone_exposure_fraction_auc20,candidate_ego_attack_zone_exposure_fraction_auc20,candidate_terminal_reason,candidate_ego_failure,candidate_ego_hp,candidate_target_hp,head_on_handoff_reached,head_on_handoff_step,head_on_valid_target_steps,head_on_qualification_reason,head_on_intent_loss_auc20,head_on_range_opening_fraction_auc20,head_on_specific_energy_height_delta_m_at_20,head_on_target_attack_zone_exposure_fraction_auc20,head_on_ego_attack_zone_exposure_fraction_auc20,head_on_terminal_reason,head_on_ego_failure,head_on_ego_hp,head_on_target_hp,crossing_handoff_reached,crossing_handoff_step,crossing_valid_target_steps,crossing_qualification_reason,crossing_intent_loss_auc20,crossing_range_opening_fraction_auc20,crossing_specific_energy_height_delta_m_at_20,crossing_target_attack_zone_exposure_fraction_auc20,crossing_ego_attack_zone_exposure_fraction_auc20,crossing_terminal_reason,crossing_ego_failure,crossing_ego_hp,crossing_target_hp,all_method_handoff_metadata_equivalent,candidate_head_pairable,candidate_crossing_pairable,candidate_head_handoff_metadata_equivalent,candidate_crossing_handoff_metadata_equivalent,candidate_head_strict_pairable,candidate_crossing_strict_pairable,candidate_minus_head_on_delta_loose,candidate_minus_crossing_delta_loose,candidate_minus_head_on_delta_strict,candidate_minus_crossing_delta_strict,candidate_specific_ego_failure,candidate_specific_failure_same_handoff,attribution_tags
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_b|own_below|negative,82606,defext_hold_b,own_below,negative,1525.0000000002517,195.0,395.0,True,203,58,qualifying,0.6576516813702052,0.85,1536.4237060546875,0.0,0.0,timeout_hp_disadvantage,False,68.5,87.0,True,205,56,qualifying,0.5977427959442139,0.65,1290.7552490234375,0.0,0.0,timeout_hp_disadvantage,False,69.5,87.5,True,209,52,qualifying,0.5974299298392404,1.0,1390.8782958984375,0.0,0.0,timeout_hp_disadvantage,False,73.0,87.5,False,True,True,False,False,False,False,0.059908885425991376,0.06022175153096487,,,False,False,pre_handoff_pairing_mismatch
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_b|own_below|positive,82607,defext_hold_b,own_below,positive,1525.0000000002517,195.0,395.0,True,256,3,insufficient_valid_target_steps,,0.3333333333333333,,0.0,0.0,timeout_hp_disadvantage,False,70.0,88.5,False,,0,no_handoff,,,,,,timeout_hp_disadvantage,False,,,True,184,40,qualifying,0.6200592862235175,0.45,1262.646240234375,0.0,0.0,timeout_hp_disadvantage,False,66.5,85.0,False,False,False,False,False,False,False,,,,,False,False,pre_handoff_pairing_mismatch;non_discriminative_or_unpaired
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_c|co_altitude|negative,82614,defext_hold_c,co_altitude,negative,1774.9999999996721,215.0,420.0,True,53,4,insufficient_valid_target_steps,,1.0,,0.0,0.0,timeout_hp_disadvantage,False,72.5,93.5,True,53,22,qualifying,0.8071192026138305,0.75,2812.5068359375,0.0,0.0,timeout_hp_disadvantage,False,75.5,91.5,True,53,4,insufficient_valid_target_steps,,1.0,,0.0,0.0,timeout_hp_disadvantage,False,75.5,89.5,True,False,False,True,True,False,False,,,,,False,False,non_discriminative_or_unpaired
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_c|co_altitude|positive,82615,defext_hold_c,co_altitude,positive,1774.9999999996721,215.0,420.0,True,50,63,qualifying,0.5117924663755629,0.9,1176.64697265625,0.0,0.0,timeout_hp_disadvantage,False,57.5,88.5,True,50,4,insufficient_valid_target_steps,,1.0,,0.0,0.0,timeout_hp_disadvantage,False,77.5,88.0,True,50,53,qualifying,0.6825850990083483,0.75,1662.176513671875,0.0,0.0,timeout_hp_disadvantage,False,77.5,87.0,True,False,True,True,True,False,True,,-0.17079263263278543,,-0.17079263263278543,False,False,none
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_c|own_above|negative,82616,defext_hold_c,own_above,negative,1774.999999999876,215.0,420.0,True,48,15,insufficient_valid_target_steps,,0.8,,0.06666666666666667,0.0,timeout_hp_disadvantage,False,69.0,97.5,True,48,19,insufficient_valid_target_steps,,1.0,,0.0,0.0,timeout_hp_disadvantage,False,77.5,92.0,True,48,8,insufficient_valid_target_steps,,1.0,,0.0,0.0,timeout_hp_disadvantage,False,77.5,91.5,True,False,False,True,True,False,False,,,,,False,False,non_discriminative_or_unpaired
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_c|own_above|positive,82617,defext_hold_c,own_above,positive,1774.999999999876,215.0,420.0,True,47,6,insufficient_valid_target_steps,,0.8333333333333334,,0.0,0.0,timeout_hp_disadvantage,False,64.0,97.5,True,47,61,qualifying,0.6762461000018649,1.0,1850.665283203125,0.0,0.0,timeout_hp_disadvantage,False,78.0,86.5,True,47,32,qualifying,0.7305677519904242,1.0,2310.517333984375,0.0,0.0,timeout_hp_disadvantage,False,78.0,87.0,True,False,False,True,True,False,False,,,,,False,False,non_discriminative_or_unpaired
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_c|own_below|negative,82612,defext_hold_c,own_below,negative,1774.999999999876,215.0,420.0,True,212,49,qualifying,0.6668684959411622,0.75,1398.063720703125,0.0,0.0,timeout_hp_disadvantage,False,72.0,88.5,True,213,48,qualifying,0.6960392077763875,0.45,1442.1441650390625,0.0,0.0,timeout_hp_disadvantage,False,69.5,88.5,True,217,44,qualifying,0.7012795315848456,1.0,1673.4735107421875,0.0,0.0,timeout_hp_disadvantage,False,75.0,88.5,False,True,True,False,False,False,False,-0.02917071183522535,-0.03441103564368342,,,False,False,pre_handoff_pairing_mismatch;existing_crossing_geometry_overlap
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_c|own_below|positive,82613,defext_hold_c,own_below,positive,1774.999999999876,215.0,420.0,True,205,56,qualifying,0.5155051906903585,1.0,1452.94921875,0.0,0.0,timeout_hp_disadvantage,False,77.5,84.5,True,204,57,qualifying,0.5505974266264173,1.0,1557.5311279296875,0.0,0.0,timeout_hp_disadvantage,False,77.5,84.5,True,204,57,qualifying,0.5506127966774834,1.0,1557.6817626953125,0.0,0.0,timeout_hp_disadvantage,False,77.5,84.5,False,True,True,False,False,False,False,-0.03509223593605881,-0.035107605987124924,,,False,False,pre_handoff_pairing_mismatch;existing_crossing_geometry_overlap
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_d|co_altitude|negative,82620,defext_hold_d,co_altitude,negative,1999.9999999996144,225.0,430.0,True,56,4,insufficient_valid_target_steps,,1.0,,0.0,0.0,timeout_hp_disadvantage,False,58.5,96.0,True,55,25,qualifying,0.6819260305828518,1.0,1692.597412109375,0.0,0.0,timeout_hp_disadvantage,False,73.5,89.0,True,55,29,qualifying,0.5655026872952779,0.7,938.205810546875,0.0,0.0,timeout_hp_disadvantage,False,68.5,84.5,False,False,False,False,False,False,False,,,,,False,False,pre_handoff_pairing_mismatch;non_discriminative_or_unpaired
THESIS-DEFEXT-RANGEEXT-PILOT-V1-ATTRIBUTION-R1,expert,defext_hold_d|co_altitude|positive,82621,defext_hold_d,co_altitude,positive,1999.9999999996144,225.0,430.0,True,51,14,insufficient_valid_target_steps,,0.7142857142857143,,0.0,0.0,ego_crash_or_out_of_bounds,True,60.5,100.0,True,51,53,qualifying,0.7369484477572972,1.0,2094.612060546875,0.0,0.0,timeout_hp_disadvantage,False,76.5,86.5,True,51,32,qualifying,0.5771566894319323,0.9,1335.4315185546875,0.0,0.0,timeout_hp_disadvantage,False,62.0,85.5,True,False,False,True,True,False,False,,,,,True,True,candidate_specific_safety_signal;non_discriminative_or_unpaired
